quarter,n_claims,avg_log_severity,policyCount,quarter_start
1978Q1,2,8.296621141133645,1.0,1978-01-01
1979Q1,1,5.675897271166665,1.0,1979-01-01
1979Q2,4,6.529489905897639,1.0,1979-04-01
1979Q3,6,7.2316947554141935,1.0,1979-07-01
1979Q4,1,8.391743340698822,1.0,1979-10-01
1980Q2,6,8.344238926782557,1.0,1980-04-01
1980Q3,1,6.698921354848035,1.0,1980-07-01
1980Q4,1,9.826746347234332,1.0,1980-10-01
1981Q2,1,7.550934602164159,1.0,1981-04-01
1981Q3,2,6.4138850958655595,1.0,1981-07-01
1982Q1,1,,1.0,1982-01-01
1982Q2,1,7.17579571117863,1.0,1982-04-01
1982Q4,1,7.6833115957828,1.0,1982-10-01
1983Q1,1,8.134989428220914,1.0,1983-01-01
1983Q2,5,7.562942346682594,1.0,1983-04-01
1983Q3,3,7.867026559108619,1.0,1983-07-01
1983Q4,2,8.825941797979718,1.0,1983-10-01
1984Q1,1,8.155362120328135,1.0,1984-01-01
1984Q2,1,8.489116709994141,1.0,1984-04-01
1985Q3,4,8.750940273200714,1.0,1985-07-01
1985Q4,3,8.592341457585853,1.0,1985-10-01
1986Q3,1,9.804817936138383,1.0,1986-07-01
1986Q4,1,,1.0,1986-10-01
1987Q1,4,6.49274971282744,1.0,1987-01-01
1987Q2,1,7.954144016146281,1.0,1987-04-01
1987Q4,1,9.354388766548645,1.0,1987-10-01
1988Q2,1,6.463965056552305,1.0,1988-04-01
1989Q2,3,8.2441504290156,1.0,1989-04-01
1989Q3,23,8.57089338204573,1.0,1989-07-01
1989Q4,2,10.041040163139048,1.0,1989-10-01
1990Q1,1,,1.0,1990-01-01
1990Q2,2,,1.0,1990-04-01
1990Q4,1,6.309918278226516,1.0,1990-10-01
1991Q1,1,9.881082932992284,1.0,1991-01-01
1991Q2,2,6.869866478439324,1.0,1991-04-01
1991Q3,1,7.4468884370434525,1.0,1991-07-01
1991Q4,4,9.287215877831601,1.0,1991-10-01
1992Q1,3,8.758985723621496,1.0,1992-01-01
1992Q2,1,10.035003853726966,1.0,1992-04-01
1992Q3,7,,1.0,1992-07-01
1992Q4,15,7.726441388660592,1.0,1992-10-01
1993Q1,8,8.137049263642615,1.0,1993-01-01
1993Q3,2,10.611545336661452,1.0,1993-07-01
1993Q4,1,,1.0,1993-10-01
1994Q1,1,9.205272552242933,1.0,1994-01-01
1994Q2,1,9.22029070282935,1.0,1994-04-01
1994Q3,4,9.219346050261887,1.0,1994-07-01
1994Q4,3,5.876362289951826,1.0,1994-10-01
1995Q1,3,10.809307517172611,1.0,1995-01-01
1995Q2,34,8.418882438990059,1.0,1995-04-01
1995Q3,4,8.71079823127036,1.0,1995-07-01
1995Q4,15,8.751031640812348,1.0,1995-10-01
1996Q1,2,7.893624310946474,1.0,1996-01-01
1996Q2,1,,1.0,1996-04-01
1996Q3,20,8.834321155961698,1.0,1996-07-01
1996Q4,5,8.339402784754693,1.0,1996-10-01
1997Q1,2,,1.0,1997-01-01
1997Q2,3,7.946263005621173,1.0,1997-04-01
1997Q3,1,6.811321468140831,1.0,1997-07-01
1998Q1,8,9.314608916138978,1.0,1998-01-01
1998Q2,2,9.708570640661549,1.0,1998-04-01
1998Q3,22,8.763602263414034,1.0,1998-07-01
1998Q4,2,10.138817437984985,1.0,1998-10-01
1999Q1,1,8.950098353949793,1.0,1999-01-01
1999Q3,22,9.56099284591823,1.0,1999-07-01
1999Q4,32,8.09124303071059,1.0,1999-10-01
2000Q1,1,8.885553000637122,1.0,2000-01-01
2000Q2,1,,1.0,2000-04-01
2000Q3,2,8.18965922993353,1.0,2000-07-01
2000Q4,21,8.541428524190112,1.0,2000-10-01
2001Q1,2,9.79644248338429,6.5,2001-01-01
2001Q2,24,9.811093926152619,1.0,2001-04-01
2001Q3,1,,1.0,2001-07-01
2001Q4,2,,1.0,2001-10-01
2002Q3,6,8.815673397405634,1.0,2002-07-01
2002Q4,11,9.140513856603707,1.0,2002-10-01
2003Q1,1,7.139699986249416,1.0,2003-01-01
2003Q2,4,8.537451418102773,1.0,2003-04-01
2003Q3,24,9.27750224619599,1.0,2003-07-01
2004Q1,1,,1.0,2004-01-01
2004Q2,2,,1.0,2004-04-01
2004Q3,59,9.081127101595436,1.0,2004-07-01
2004Q4,2,,1.0,2004-10-01
2005Q1,1,9.494016682064018,1.0,2005-01-01
2005Q2,1,11.521847643693716,1.0,2005-04-01
2005Q3,223,10.907045012945146,1.0,2005-07-01
2005Q4,19,8.830396510547477,1.0,2005-10-01
2006Q2,2,7.241633283924477,1.0,2006-04-01
2006Q4,3,9.922147967777288,1.0,2006-10-01
2007Q1,1,,1.0,2007-01-01
2007Q2,3,8.603469932584742,1.0,2007-04-01
2007Q3,1,,1.0,2007-07-01
2007Q4,1,9.39009530447282,1.0,2007-10-01
2008Q2,3,8.560622239265308,1.0,2008-04-01
2008Q3,47,9.5281593276915,1.0,2008-07-01
2009Q1,1,11.441142311407283,1.0,2009-01-01
2009Q2,4,8.749689550975914,1.0,2009-04-01
2009Q3,2,8.775787280773743,1.0,2009-07-01
2009Q4,11,8.196520905870294,1.0,2009-10-01
2010Q1,4,10.498884957438063,1.0,2010-01-01
2010Q2,7,10.246855880892824,1.0,2010-04-01
2010Q3,1,7.783836328834471,1.0,2010-07-01
2010Q4,2,8.699514748210191,1.0,2010-10-01
2011Q1,1,,51.0,2011-01-01
2011Q2,7,8.95357361128809,1.0,2011-04-01
2011Q3,31,9.038323265237903,1.0,2011-07-01
2012Q2,3,8.34501202177618,1.0,2012-04-01
2012Q3,8,10.170539440655642,1.0,2012-07-01
2012Q4,93,10.28552283336211,1.0,2012-10-01
2013Q2,4,10.158372654038823,1.0,2013-04-01
2013Q3,3,12.48673010304499,1.0,2013-07-01
2014Q1,1,8.722101079105196,1.0,2014-01-01
2014Q2,3,9.325835768467321,1.0,2014-04-01
2014Q3,1,8.456823037220172,1.0,2014-07-01
2014Q4,1,,1.0,2014-10-01
2015Q2,2,9.93726857425645,1.0,2015-04-01
2015Q3,1,,1.0,2015-07-01
2015Q4,11,8.449551020190063,1.0,2015-10-01
2016Q1,6,9.622199799633217,1.0,2016-01-01
2016Q2,12,10.638620672891546,1.0,2016-04-01
2016Q3,34,10.921361853205502,1.0,2016-07-01
2016Q4,24,9.397927257162724,1.0,2016-10-01
2017Q1,2,9.40241166571003,1.0,2017-01-01
2017Q2,3,9.089490058165643,1.0,2017-04-01
2017Q3,94,11.07699131061366,1.0,2017-07-01
2017Q4,1,9.515027043243787,1.0,2017-10-01
2018Q1,2,12.49660680939978,4.0,2018-01-01
2018Q2,2,6.913230263862406,1.0,2018-04-01
2018Q3,12,9.44004542394832,1.0,2018-07-01
2018Q4,3,8.140895374380376,1.0,2018-10-01
2019Q1,4,11.233468134758438,1.0,2019-01-01
2019Q2,4,8.91155006395818,1.0,2019-04-01
2019Q3,4,10.701002978742736,1.0,2019-07-01
2019Q4,2,7.874116348840119,1.0,2019-10-01
2020Q1,2,9.672546665543841,1.0,2020-01-01
2020Q2,1,11.679762841538507,1.0,2020-04-01
2020Q3,17,9.824649259354109,1.0,2020-07-01
2020Q4,7,8.221092001191565,1.0,2020-10-01
2021Q1,6,8.797359878563423,1.0,2021-01-01
2021Q2,2,12.015840341118366,1.0,2021-04-01
2021Q3,22,10.005064226624164,1.0,2021-07-01
2021Q4,3,9.92860495294016,1.0,2021-10-01
2022Q1,2,8.417686619059987,1.0,2022-01-01
2022Q2,2,7.755017424445856,1.0,2022-04-01
2022Q3,59,10.385640435517082,1.0,2022-07-01
2022Q4,1,4.059925635351641,1.0,2022-10-01
2023Q1,2,,1.0,2023-01-01
2023Q2,4,12.41787532018162,1.0,2023-04-01
2023Q3,6,10.597439112150013,1.0,2023-07-01
2023Q4,1,8.142470650642586,1.0,2023-10-01
2024Q2,3,9.878664721703922,1.0,2024-04-01
2024Q3,34,9.817199925026786,1.0,2024-07-01
2024Q4,8,10.522635471383278,1.0,2024-10-01
2025Q1,3,7.933097705722472,1.0,2025-01-01
